XeroKeySupply,XeroKeySupplyAndInstall,Supplier,Brand Name,Product Name,Application,R-Value,Thickness (mm),Length (mm),Width (mm),Coverage/Unit ,Coverage Unit,Unit,Pack Unit,Pieces/Unit,Units/pack,Coverage/pack,Density (kg/m³),Cost/Coverage Unit,Cost/Unit,Cost/Pack,S Cost/Unit,S+I Timber/Coverage Unit,S+I Steel/Coverage Unit,Retrofit (existing ceiling) S+I/Coverage Unit,Subfloor S+I/Coverage Unit,Retrofit (Subfloor) S+I/Coverage Unit,Notes,Keywords
,,TradeArk,Rockwool,Rockwool Slab,Fire Protection,,50,1200,600,2.88,m²,Bag,,4,,,60,29.1,83.81,,,,,,,,,"Bulk Insulation, Fire, Fireproof, Fire Protection, Rockwool, Rockwool Slab"
,,TradeArk,Rockwool,Rockwool Slab,Fire Protection,,50,1200,600,4.32,m²,Bag,,6,,,80,32.01,138.28,,201,57,59,,,,,"Bulk Insulation, Fire, Fireproof, Fire Protection, Rockwool, Rockwool Slab"
,,TradeArk,Rockwool,Rockwool Slab,Fire Protection,,50,1200,600,4.32,m²,Bag,,6,,,100,34.89,150.72,,,,,,,,,"Bulk Insulation, Fire, Fireproof, Fire Protection, Rockwool, Rockwool Slab"
,,TradeArk,Rockwool,Rockwool Slab,Fire Protection,,40,1200,600,7.2,m²,Bag,,10,,,60,26.13,188.14,,,,,,,,,"Bulk Insulation, Fire, Fireproof, Fire Protection, Rockwool, Rockwool Slab"
,,TradeArk,Rockwool,Rockwool Slab,Fire Protection,,25,1200,600,8.64,m²,Bag,,12,,,100,17.46,150.85,,,,,,,,,"Bulk Insulation, Fire, Fireproof, Fire Protection, Rockwool, Rockwool Slab"
,,Polyester Solutions,Polyester,Floor Block,Subfloor,R4.0,200,6000,450,2.7,m²,Bag,,2,,5.4,,11.75,63.45,,94,,,,26.5,33,"Roll, 2 pcs/pack","Polyester Solutions, Polyester, Bulk, Floor, Subfloor, Underfloor, Retrofit"
,,Polyester Solutions,Polyester,Floor Block,Subfloor,R3.0,140,8000,450,3.6,m²,Bag,,2,,7.2,,6.94,49.96,,74,,,,22,29,"Roll, 2 pcs/pack","Polyester Solutions, Polyester, Bulk, Floor, Subfloor, Underfloor, Retrofit"
,,Polyester Solutions,Polyester,Floor Block,Subfloor,R2.5,120,8000,450,3.6,m²,Bag,,2,,7.2,,6.44,46.37,,67.5,,,,20,28,"Roll, 2 pcs/pack","Polyester Solutions, Polyester, Bulk, Floor, Subfloor, Underfloor, Retrofit"
,,Polyester Solutions,Polyester,Floor Block,Subfloor,R2.0,90,10000,450,4.5,m²,Bag,,2,,9,,5.07,45.67,,65,,,,18,26,"Roll, 2 pcs/pack","Polyester Solutions, Polyester, Bulk, Floor, Subfloor, Underfloor, Retrofit"
,,Polyester Solutions,Polyester,Floor Block,Subfloor,R1.5,90,10000,450,4.5,m²,Bag,,2,,9,,3.74,33.63,,49,,,,16.5,24,"Roll, 2 pcs/pack","Polyester Solutions, Polyester, Bulk, Floor, Subfloor, Underfloor, Retrofit"
,,Acoustica,Acoustica,GreenLag,Acoustic Pipe Lagging,,,3000,1300,8,LM,Roll,Pallet,,30,240,,9.41,75.27,2258.1,140,45,45,,,,,"GreenLag, Acoustic Lagging, Acoustic Lag, Pipe Lag, Pipe Lagging, Lagging"
,,RM Industries,Thermotec,Thermotec,Acoustic Pipe Lagging,,,3000,1350,8.5,LM,Roll,Pallet,,30,255,,12.89,109.55,3286.5,200,45,45,,,,,"Thermotec, Acoustic Lagging, Acoustic Lag, Pipe Lag, Pipe Lagging, Lagging"
,,RM Industries,Ametalin,Brane VHP,Wall Wrap,,,30000,1500,45,m²,Roll,Pallet,,80,3600,,1.298888889,58.45,4676,85,5.5,8,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP"
,,RM Industries,Ametalin,Brane Vapourtech,Wall Wrap,,,30000,1500,45,m²,Roll,Pallet,,80,3600,,1.503333333,67.65,5412,,6,8.5,,,,,"Wall Wrap, Wrap, Vapourtech, Membrane"
,,RM Industries,Ametalin,Ametalin Quick Tape,Consumables,,,50000,48,50,m,Roll,Box,,24,1200,,0.299,14.95,358.8,,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP"
,,RM Industries,Ametalin,Reinforced Silver Tape,Consumables,,,30000,48,50,m,Roll,Box,,24,800,,0.235,11.75,188,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape"
,,RM Industries,Ametalin,Reinforced Silver Tape,Consumables,,,30000,72,50,m,Roll,Box,,16,800,,0.376,18.8,300.8,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape"
,,RM Industries,RM Industries,Dampcourse ,Consumables,,,30000,300,30,m,Roll,Box,,6,180,,0.4483333333,13.45,80.7,25,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,RM Industries,RM Industries,Dampcourse ,Consumables,,,30000,380,30,m,Roll,Box,,4,120,,0.5616666667,16.85,67.4,30,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,RM Industries,RM Industries,Dampcourse ,Consumables,,,30000,450,30,m,Roll,Box,,4,120,,0.68,20.4,81.6,35,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,RM Industries,Stinger,Staples 3/8'',Consumables,,,,,,,Box,Master Carton,5000,20,100000,,0.00103,5.15,103,,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Flashing, Strap, Strapping, Subfloor"
,,WP Supplies,PPC,Reinforced Silver Tape (493),Consumables,,,30000,48,50,m,Roll,Box,,24,1200,,0.219,10.95,262.8,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (493),Consumables,,,30000,72,50,m,Roll,Box,,16,800,,0.316,15.8,252.8,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (499),Consumables,,,30000,48,50,m,Roll,Box,,24,1200,,0.13,6.5,156,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (499),Consumables,,,30000,72,50,m,Roll,Box,,16,800,,0.199,9.95,159.2,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (499),Consumables,,,30000,96,50,m,Roll,Box,,12,600,,0.265,13.25,159,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (939),Consumables,,,30000,72,50,m,Roll,Box,,16,800,,0.2778,13.89,222.24,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,PPC,Reinforced Silver Tape (939),Consumables,,,30000,96,50,m,Roll,Box,,12,600,,0.353,17.65,211.8,,,,,,,,"Wall Wrap, Wrap, Membrane, Tape, Lagging, Lag"
,,WP Supplies,WP Supplies,Dampcourse ,Consumables,,,30000,300,30,m,Roll,Box,,6,180,,0.3916666667,11.75,70.5,25,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,WP Supplies,WP Supplies,Dampcourse ,Consumables,,,30000,380,30,m,Roll,Box,,4,120,,0.51,15.3,61.2,30,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,WP Supplies,WP Supplies,Dampcourse ,Consumables,,,30000,450,30,m,Roll,Box,,4,120,,0.6,18,72,35,,,,,,,"Wall Wrap, Wrap, Brane, Membrane, VHP, Dampcourse, Flashing"
,,WP Supplies,WP Supplies,Strapping,Consumables,,,1000000,12,1000,m,Box,,,,,,0.01825,18.25,,30,,,,,,,"Strap, Strapping, Subfloor"
,,WP Supplies,WP Supplies,Strapping,Consumables,,,1000000,15,1000,m,Box,,,,,,0.01995,19.95,,35,,,,,,,"Strap, Strapping, Subfloor"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R4.6,100,2400,1200,2.88,m²,Panel,Pack,,3,8.64,,62.78,180.81,542.43,299,133,133,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R4.1,90,2400,1200,2.88,m²,Panel,Pack,,3,8.64,,55.32,159.32,477.96,263,115,115,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R3.65,80,2400,1200,2.88,m²,Panel,Pack,,4,11.52,,49.37,142.19,568.76,235,102,102,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R3.2,70,2400,1200,2.88,m²,Panel,Pack,,4,11.52,,42.34,121.95,487.81,202,90,90,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R2.75,60,2400,1200,2.88,m²,Panel,Pack,,5,14.4,,37.73,108.65,543.25,180,83,83,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R2.3,50,2400,1200,2.88,m²,Panel,Pack,,6,17.28,,34.15,98.36,590.16,163,76,76,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R2.05,45,2400,1200,2.88,m²,Panel,Pack,,7,20.16,,30.62,86.64,606.47,143,70,70,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R1.75,40,2400,1200,2.88,m²,Panel,Pack,,8,23.04,,28.49,82.05,656.36,136,65,65,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R1.3,30,2400,1200,2.88,m²,Panel,Pack,,10,28.8,,24.13,69.5,694.95,115,59,59,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K10 G2,Rigid Wall/Soffit,R1.1,25,2400,1200,2.88,m²,Panel,Pack,,12,34.56,,21.74,62.62,751.49,104,56,56,,,,,"Kooltherm, Kingspan, K10 G2, K10, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R3.65,80,2400,1200,2.88,m²,Panel,Pack,,4,11.52,,42.99,123.81,495.25,205,87,87,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R3.2,70,2400,1200,2.88,m²,Panel,Pack,,4,11.52,,39.37,113.39,453.55,188,81,81,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R2.75,60,2400,1200,2.88,m²,Panel,Pack,,5,14.4,,34.69,99.9,499.49,165,72,72,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R2.3,50,2400,1200,2.88,m²,Panel,Pack,,6,17.28,,29.44,84.78,508.65,140,65,65,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R2.05,45,2400,1200,2.88,m²,Panel,Pack,,7,20.16,,27.51,79.22,554.55,131,63,63,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R1.75,40,2400,1200,2.88,m²,Panel,Pack,,8,23.04,,24.7,71.13,569.02,118,58,58,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R1.3,30,2400,1200,2.88,m²,Panel,Pack,,10,28.8,,22.31,64.26,642.55,107,55,55,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Precision Panels,Kingspan,Kooltherm K12,Rigid Wall/Soffit,R1.1,25,2400,1200,2.88,m²,Panel,Pack,,12,34.56,,20.19,58.14,697.65,96,53,53,,,,,"Kooltherm, Kingspan, K12, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R4.3,100,2400,1200,2.88,m²,Panel,Pack,,11,31.68,,38.75,111.6,1227.6,,110,110,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R3.85,90,2400,1200,2.88,m²,Panel,Pack,,12,34.56,,36.9,106.27,1275.26,,90,90,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R3.4,80,2400,1200,2.88,m²,Panel,Pack,,14,40.32,,33.15,95.47,1336.61,,85,85,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R3.2,75,2400,1200,2.88,m²,Panel,Pack,,15,43.2,,31.85,91.73,1375.92,,80,80,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R3.0,70,2400,1200,2.88,m²,Panel,Pack,,16,46.08,,30,86.4,1382.4,,75,75,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R2.55,60,2400,1200,2.88,m²,Panel,Pack,,18,51.84,,27.5,79.2,1425.6,,70,70,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R2.15,50,2400,1200,2.88,m²,Panel,Pack,,22,63.36,,24.4,70.27,1545.98,,65,65,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R1.7,40,2400,1200,2.88,m²,Panel,Pack,,27,77.76,,22.95,66.1,1784.59,,60,60,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R1.3,30,2400,1200,2.88,m²,Panel,Pack,,37,106.56,,22.55,64.94,2402.93,,59,59,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,RM Industries,Metecno,MetecnoTherm,Rigid Wall/Soffit,R1.05,25,2400,1200,2.88,m²,Panel,Pack,,44,126.72,,20.6,59.33,2610.43,,56,56,,,,,"MetecnoTherm, Metecno, Rigid Wall, Panel, Soffit, Board, Sheet"
,,Thermostruct,Kingspan,Kooltherm K3,XPS,R2.3,50,2400,1200,2.88,m²,Panel,Pack,,6,17.28,,26.91,77.51,465.03,110,,,,,,,"Kooltherm, Kingspan, K3, Panel, Board, Sheet, XPS"
,,Thermostruct,Kingspan,Kooltherm K3,XPS,R1.1,25,2400,1200,2.88,m²,Panel,Pack,,12,34.56,,18.85,54.3,651.62,80,,,,,,,"Kooltherm, Kingspan, K3, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R3.0,100,2400,600,1.44,m²,Panel,Pack,,3,4.32,,39.69,57.16,171.48,82,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R2.7,90,2400,600,1.44,m²,Panel,Pack,,3,4.32,,36.04,51.9,155.7,74,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R2.4,80,2400,600,1.44,m²,Panel,Pack,,3,4.32,,32.38,46.63,139.89,67,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R2.1,70,2400,600,1.44,m²,Panel,Pack,,4,5.76,,28.72,41.36,165.44,60,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R1.8,60,2400,600,1.44,m²,Panel,Pack,,4,5.76,,25.07,36.1,144.4,52,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R1.5,50,2400,600,1.44,m²,Panel,Pack,,5,7.2,,18.28,26.33,131.65,43,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R1.2,40,2400,600,1.44,m²,Panel,Pack,,6,8.64,,14.63,21.06,126.36,33,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,ISOMAX,ISOMAX X300,XPS,R0.9,30,2400,600,1.44,m²,Panel,Pack,,7,10.08,,10.97,15.8,110.6,25,,,,,,,"ISOMAX, ISOMAX X300, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R2.15,75,2400,600,1.44,m²,Panel,Pack,,6,8.64,,32.35,46.58,279.48,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R1.82,60,2400,600,1.44,m²,Panel,Pack,,7,10.08,,25.88,37.26,260.82,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R1.55,50,2400,600,1.44,m²,Panel,Pack,,8,11.52,,21.56,31.05,248.4,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R1.29,40,2400,600,1.44,m²,Panel,Pack,,11,15.84,,17.25,24.84,273.24,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R0.94,30,2400,600,1.44,m²,Panel,Pack,,14,20.16,,12.94,18.63,260.82,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"
,,Thermostruct,Foamex,Sytroboard,XPS,R0.81,25,2400,600,1.44,m²,Panel,Pack,,17,24.48,,10.78,15.53,264.01,,,,,,,,"Foamex, Styroboard, Panel, Board, Sheet, XPS"